sample-id,absolute-filepath,direction
Ars.F.13,/symbiont/annamob/qiimeinputsGxGxE/Ars.F.13_0_L001_R1_001.fastq.gz,forward
Cdv.F.26,/symbiont/annamob/qiimeinputsGxGxE/Cdv.F.26_1_L001_R1_001.fastq.gz,forward
Cam.F.22,/symbiont/annamob/qiimeinputsGxGxE/Cam.F.22_2_L001_R1_001.fastq.gz,forward
BrBr.F.20,/symbiont/annamob/qiimeinputsGxGxE/BrBr.F.20_3_L001_R1_001.fastq.gz,forward
KSR.F.43,/symbiont/annamob/qiimeinputsGxGxE/KSR.F.43_4_L001_R1_001.fastq.gz,forward
HumBPE.F.40,/symbiont/annamob/qiimeinputsGxGxE/HumBPE.F.40_5_L001_R1_001.fastq.gz,forward
MocT.F.57,/symbiont/annamob/qiimeinputsGxGxE/MocT.F.57_6_L001_R1_001.fastq.gz,forward
Rat.F.68,/symbiont/annamob/qiimeinputsGxGxE/Rat.F.68_7_L001_R1_001.fastq.gz,forward
WestD.F.93,/symbiont/annamob/qiimeinputsGxGxE/WestD.F.93_8_L001_R1_001.fastq.gz,forward
UTM.F.90,/symbiont/annamob/qiimeinputsGxGxE/UTM.F.90_9_L001_R1_001.fastq.gz,forward
Ars.M.101,/symbiont/annamob/qiimeinputsGxGxE/Ars.M.101_10_L001_R1_001.fastq.gz,forward
Cdv.M.109,/symbiont/annamob/qiimeinputsGxGxE/Cdv.M.109_11_L001_R1_001.fastq.gz,forward
Cam.M.107,/symbiont/annamob/qiimeinputsGxGxE/Cam.M.107_12_L001_R1_001.fastq.gz,forward
BrBr.M.105,/symbiont/annamob/qiimeinputsGxGxE/BrBr.M.105_13_L001_R1_001.fastq.gz,forward
KSR.M.121,/symbiont/annamob/qiimeinputsGxGxE/KSR.M.121_14_L001_R1_001.fastq.gz,forward
HumBPE.M.119,/symbiont/annamob/qiimeinputsGxGxE/HumBPE.M.119_15_L001_R1_001.fastq.gz,forward
Rat.M.133,/symbiont/annamob/qiimeinputsGxGxE/Rat.M.133_16_L001_R1_001.fastq.gz,forward
MocT.M.129,/symbiont/annamob/qiimeinputsGxGxE/MocT.M.129_17_L001_R1_001.fastq.gz,forward
WestD.M.148,/symbiont/annamob/qiimeinputsGxGxE/WestD.M.148_18_L001_R1_001.fastq.gz,forward
UTM.M.145,/symbiont/annamob/qiimeinputsGxGxE/UTM.M.145_19_L001_R1_001.fastq.gz,forward
Ars.F.13,/symbiont/annamob/qiimeinputsGxGxE/Ars.F.13_20_L001_R2_001.fastq.gz,reverse
Cdv.F.26,/symbiont/annamob/qiimeinputsGxGxE/Cdv.F.26_21_L001_R2_001.fastq.gz,reverse
Cam.F.22,/symbiont/annamob/qiimeinputsGxGxE/Cam.F.22_22_L001_R2_001.fastq.gz,reverse
BrBr.F.20,/symbiont/annamob/qiimeinputsGxGxE/BrBr.F.20_23_L001_R2_001.fastq.gz,reverse
KSR.F.43,/symbiont/annamob/qiimeinputsGxGxE/KSR.F.43_24_L001_R2_001.fastq.gz,reverse
HumBPE.F.40,/symbiont/annamob/qiimeinputsGxGxE/HumBPE.F.40_25_L001_R2_001.fastq.gz,reverse
MocT.F.57,/symbiont/annamob/qiimeinputsGxGxE/MocT.F.57_26_L001_R2_001.fastq.gz,reverse
Rat.F.68,/symbiont/annamob/qiimeinputsGxGxE/Rat.F.68_27_L001_R2_001.fastq.gz,reverse
WestD.F.93,/symbiont/annamob/qiimeinputsGxGxE/WestD.F.93_28_L001_R2_001.fastq.gz,reverse
UTM.F.90,/symbiont/annamob/qiimeinputsGxGxE/UTM.F.90_29_L001_R2_001.fastq.gz,reverse
Ars.M.101,/symbiont/annamob/qiimeinputsGxGxE/Ars.M.101_30_L001_R2_001.fastq.gz,reverse
Cdv.M.109,/symbiont/annamob/qiimeinputsGxGxE/Cdv.M.109_31_L001_R2_001.fastq.gz,reverse
Cam.M.107,/symbiont/annamob/qiimeinputsGxGxE/Cam.M.107_32_L001_R2_001.fastq.gz,reverse
BrBr.M.105,/symbiont/annamob/qiimeinputsGxGxE/BrBr.M.105_33_L001_R2_001.fastq.gz,reverse
KSR.M.121,/symbiont/annamob/qiimeinputsGxGxE/KSR.M.121_34_L001_R2_001.fastq.gz,reverse
HumBPE.M.119,/symbiont/annamob/qiimeinputsGxGxE/HumBPE.M.119_35_L001_R2_001.fastq.gz,reverse
Rat.M.133,/symbiont/annamob/qiimeinputsGxGxE/Rat.M.133_36_L001_R2_001.fastq.gz,reverse
MocT.M.129,/symbiont/annamob/qiimeinputsGxGxE/MocT.M.129_37_L001_R2_001.fastq.gz,reverse
WestD.M.148,/symbiont/annamob/qiimeinputsGxGxE/WestD.M.148_38_L001_R2_001.fastq.gz,reverse
UTM.M.145,/symbiont/annamob/qiimeinputsGxGxE/UTM.M.145_39_L001_R2_001.fastq.gz,reverse